2	"compactie: compact facts in open information extraction | ff bayat, n bhutani, hv jagadish - arxiv preprint arxiv:2205.02880, 2022"	CompactIE: Compact Facts in Open Information Extraction	5/14/22 4:38	"FF Bayat, N Bhutani, HV Jagadish - arXiv preprint arXiv:2205.02880, 2022"	"A major drawback of modern neural OpenIE systems and benchmarks is that they prioritize high coverage of information in extractions over compactness of their constituents. This severely limits the usefulness of OpenIE extractions in many downstream tasks. The utility of extractions can be improved if extractions are compact and share constituents. To this end, we study the problem of identifying compact extractions with neural-based methods. We propose CompactIE, an OpenIE Cites: Open information extraction from the web"
0	practical synthesis from real-world oracles | b collie	Practical Synthesis from Real-World Oracles	5/14/22 4:38	B Collie	"As software systems become increasingly heterogeneous, the ability of compilers to reason about an entire system has decreased. When components of a system are not implemented as traditional programs, but rather as specialised hardware, optimised architecture-specific libraries, or network services, the compiler is unable to cross these abstraction barriers and analyse the system as a whole. If these components could be modelled or understood as programs, then the compiler would Cites: Optimal Neural Program Synthesis from Multimodal Specifications"
2	"resin-11: schema-guided event prediction for 11 newsworthy scenarios | x du, z zhang, s li, p yu, h wang, tm lai, x lin - proc. 2022 annual , 2022"	RESIN-11: Schema-guided Event Prediction for 11 Newsworthy Scenarios	5/14/22 4:38	"X Du, Z Zhang, S Li, P Yu, H Wang, TM Lai, X Lin - Proc. 2022 Annual , 2022"	"We introduce RESIN-11, a new schema-guided event extraction and prediction system that can be applied to a large variety of newsworthy scenarios. The framework consists of two parts:(1) an open-domain end-to-end multimedia multilingual information extraction system with weak-supervision and zero-shot learningbased techniques.(2) a schema matching and schema-guided event prediction system based on our curated schema library. We build a demo website 1 Cites: The Future is not One-dimensional: Complex Event Schema"
1	"system and methods for training task-oriented dialogue (tod) language models | c wu, ch hoi, r socher, c xiong - us patent app. 17/088,206, 2022"	SYSTEM AND METHODS FOR TRAINING TASK-ORIENTED DIALOGUE (TOD) LANGUAGE MODELS	5/14/22 4:38	"C Wu, CH Hoi, R Socher, C Xiong - US Patent App. 17/088,206, 2022"	"Embodiments described herein provide methods and systems for training task- oriented dialogue (TOD) language models. In some embodiments, a TOD language model may receive a TOD dataset including a plurality of dialogues and a model"
1	"proqa: structural prompt-based pre-training for unified question answering | w zhong, y gao, n ding, y qin, z liu, m zhou, j wang - arxiv preprint arxiv , 2022"	ProQA: Structural Prompt-based Pre-training for Unified Question Answering	5/14/22 4:38	"W Zhong, Y Gao, N Ding, Y Qin, Z Liu, M Zhou, J Wang - arXiv preprint arXiv , 2022"	"Question Answering (QA) is a longstanding challenge in natural language processing. Existing QA works mostly focus on specific question types, knowledge domains, or reasoning skills. The specialty in QA research hinders systems from modeling commonalities between tasks and generalization for wider applications. To address this issue, we present ProQA, a unified QA paradigm that solves various tasks through a single model. ProQA takes a unified structural prompt as the bridge Cites: BoolQ: Exploring the surprising difficulty of natural yes/no questions"
1	"better retrieval may not lead to better question answering | z liang, t khot, s bethard, m surdeanu, a sabharwal - arxiv preprint arxiv , 2022"	Better Retrieval May Not Lead to Better Question Answering	5/14/22 4:38	"Z Liang, T Khot, S Bethard, M Surdeanu, A Sabharwal - arXiv preprint arXiv , 2022"	"Considerable progress has been made recently in open-domain question answering (QA) problems, which require Information Retrieval (IR) and Reading Comprehension (RC). A popular approach to improve the system s performance is to improve the quality of the retrieved context from the IR stage. In this work we show that for StrategyQA, a challenging open-domain QA dataset that requires multi-hop reasoning, this common approach is surprisingly ineffective--improving the quality of Cites: Answering Open-Domain Questions of Varying Reasoning Steps"
1	"cogintac: modeling the relationships between intention, emotion and action in interactive process from cognitive perspective | w peng, y hu, y xie, l xing, y sun - arxiv preprint arxiv:2205.03540, 2022"	"CogIntAc: Modeling the Relationships between Intention, Emotion and Action in Interactive Process from Cognitive Perspective"	5/14/22 4:38	"W Peng, Y Hu, Y Xie, L Xing, Y Sun - arXiv preprint arXiv:2205.03540, 2022"	"Intention, emotion and action are important psychological factors in human activities, which play an important role in the interaction between individuals. How to model the interaction process between individuals by analyzing the relationship of their intentions, emotions, and actions at the cognitive level is challenging. In this paper, we propose a novel cognitive framework of individual interaction. The core of the framework is that individuals achieve interaction through external action driven by Cites: Abductive commonsense reasoning"
1	"dimension reduction for efficient dense retrieval via conditional autoencoder | z liu, h zhang, c xiong, z liu, y gu, x li - arxiv preprint arxiv:2205.03284, 2022"	Dimension Reduction for Efficient Dense Retrieval via Conditional Autoencoder	5/14/22 4:38	"Z Liu, H Zhang, C Xiong, Z Liu, Y Gu, X Li - arXiv preprint arXiv:2205.03284, 2022"	"Dense retrievers encode texts and map them in an embedding space using pre- trained language models. These embeddings are critical to keep high-dimensional for effectively training dense retrievers, but lead to a high cost of storing index and retrieval. To reduce the embedding dimensions of dense retrieval, this paper proposes a Conditional Autoencoder (ConAE) to compress the high-dimensional embeddings to maintain the same embedding distribution and better recover the Cites: Sewon Min, Ledell Wu, Sergey Edunov, Danqi Chen, and Wentau"
0	a deep learning perspective on linguistic ambiguity | l aina - 2022	A deep learning perspective on linguistic ambiguity	5/14/22 4:38	L Aina - 2022	"This thesis studies the information that an expression and its context contribute to ambiguity resolution, focusing on the syntactic, lexical, and referential levels, and on the English language. I adopt computational linguistics, in particular deep learning methods, as my research framework, by introducing methodologies to 1) analyze deep learning models, and 2) use them for linguistic analysis. In a subset of studies, I investigate how neural language modelstrained from unlabeled text corpora Cites: Composition in distributional models of semantics"
0	"complex system health condition estimation using tree-structured simple recurrent unit networks | w kang, j xiao, j xue - complex & intelligent systems, 2022"	Complex system health condition estimation using tree-structured simple recurrent unit networks	5/14/22 4:38	"W Kang, J Xiao, J Xue - Complex & Intelligent Systems, 2022"	"Modern production has stricter requirements for the reliability of complex systems; thus, it is meaningful to estimate the health of complex systems. A complex system has diverse observation features and complex internal structures, which have been difficult to study with regard to health condition estimation. To describe continuous and gradually changing time-based characteristics of a complex system s health condition, this study develops a feature selection model based on the information Cites: Cross-sentence n-ary relation extraction with graph lstms"
1	"automated evaluation for student argumentative writing: a survey | x wang, y lee, j park - arxiv preprint arxiv:2205.04083, 2022"	Automated Evaluation for Student Argumentative Writing: A Survey	5/14/22 4:38	"X Wang, Y Lee, J Park - arXiv preprint arXiv:2205.04083, 2022"	"This paper surveys and organizes research works in an under-studied area, which we call automated evaluation for student argumentative writing. Unlike traditional automated writing evaluation that focuses on holistic essay scoring, this field is more specific: it focuses on evaluating argumentative essays and offers specific feedback, including argumentation structures, argument strength trait score, etc. The focused and detailed evaluation is useful for helping students acquire important Cites: A linear programming formulation for global inference in natural"
0	"meta-learning based knowledge extrapolation for knowledge graphs in the federated setting | m chen, w zhang, z yao, x chen, m ding, f huang - arxiv preprint arxiv , 2022"	Meta-Learning Based Knowledge Extrapolation for Knowledge Graphs in the Federated Setting	5/14/22 4:38	"M Chen, W Zhang, Z Yao, X Chen, M Ding, F Huang - arXiv preprint arXiv , 2022"	"We study the knowledge extrapolation problem to embed new components (ie, entities and relations) that come with emerging knowledge graphs (KGs) in the federated setting. In this problem, a model trained on an existing KG needs to embed an emerging KG with unseen entities and relations. To solve this problem, we introduce the meta-learning setting, where a set of tasks are sampled on the existing KG to mimic the link prediction task on the emerging KG. Based on sampled tasks Cites: Embedding entities and relations for learning and inference in"
0	"time-series domain adaptation via sparse associative structure alignment: learning invariance and variance | z li, r cai, j chen, y yan, w chen, k zhang, j ye - arxiv preprint arxiv:2205.03554, 2022"	Time-Series Domain Adaptation via Sparse Associative Structure Alignment: Learning Invariance and Variance	5/14/22 4:38	"Z Li, R Cai, J Chen, Y Yan, W Chen, K Zhang, J Ye - arXiv preprint arXiv:2205.03554, 2022"	"Domain adaptation on time-series data is often encountered in the industry but received limited attention in academia. Most of the existing domain adaptation methods for time-series data borrow the ideas from the existing methods for non-time series data to extract the domain-invariant representation. However, two peculiar difficulties to time-series data have not been solved. 1) It is not a trivial task to model the domain-invariant and complex dependence among different timestamps. 2) The Cites: Introduction to statistical relational learning"
0	implementing neural machine translation at la mobilire | m battaglia - 2022	Implementing neural machine translation at la Mobilire	5/14/22 4:38	M Battaglia - 2022	"The interest of LSP and companies in neural machine translation solutions is growing worldwide and in Switzerland. One large Swiss insurance company that is turning its attention towards MT is la Mobilire. In this master thesis, we have trained a NMT system to try and find out whether a trained system can provide a superior output compared to a generic system, DeepL. This was achieved using automatic metrics (BLEU and TER) and human evaluations. Our results show that a trained Cites: Linguistic regularities in continuous space word representations"
